grid_id;organization_name;country_code;country;latitude;longitude;native_count;newcomer_count;outgoer_count;total_researcher_count;native_percentage;newcomer_percentage;outgoer_percentage;organization_type_id;organization_type
grid.4827.9;Swansea Univ.;GB;United Kingdom;516.097;-398.056;1242;1677;661;3580;34.693;46.844;18.464;3;Education
grid.419319.7;Manchester Royal Infirmary;GB;United Kingdom;534.622;-222.639;200;874;337;1411;14.174;61.942;23.884;6;Healthcare
grid.12477.37;Univ.  Brighton;GB;United Kingdom;50.859;-0.086603;559;548;219;1326;42.157;41.327;16.516;3;Education
grid.13097.3c;King's College London;GB;United Kingdom;515.114;-0.116727;4781;12166;4381;21328;22.417;57.042;20.541;3;Education
grid.14105.31;Med. Res. Council;GB;United Kingdom;515.148;-0.119432;125;2097;202;2424;5.157;86.510;8.333;5;Government
grid.18886.3f;Inst.  Cancer Res.;GB;United Kingdom;513.443;-0.18921;570;2341;556;3467;16.441;67.522;16.037;3;Education
grid.428926.3;Guangzhou Inst.s  Biomedicine  & Health;CN;China;231.622;113.448;392;298;397;1087;36.063;27.415;36.523;4;Facility
grid.14925.3b;Institut Gustave Roussy;FR;France;487.946;234.878;631;3500;1081;5212;12.107;67.153;20.741;4;Facility
grid.462844.8;Sorbonne Univ.;FR;France;488.485;234.323;1598;13471;4115;19184;8.330;70.220;21.450;3;Education
grid.412220.7;Hôpitaux Universitaires de Strasbourg;FR;France;485.758;774.494;396;1565;704;2665;14.859;58.724;26.417;6;Healthcare
grid.413756.2;Hôpital Ambroise-Paré;FR;France;488.493;223.548;120;774;209;1103;10.879;70.172;18.948;6;Healthcare
grid.414093.b;Hôpital Européen Georges-Pompidou;FR;France;488.389;22.737;273;1664;484;2421;11.276;68.732;19.992;6;Healthcare
grid.469994.f;Sorbonne Paris Cité;FR;France;488.361;237.165;123;3208;210;3541;3.474;90.596;5.931;8;Other
grid.410350.3;Natl. Museum  Natural History;FR;France;488.421;235.629;239;1048;590;1877;12.733;55.834;31.433;1;Archive
grid.411158.8;Ctr. Hosp.ier Universitaire de Besançon;FR;France;472.247;595.941;389;1142;558;2089;18.621;54.667;26.711;6;Healthcare
grid.411088.4;Univ. Hosp. Frankfurt;DE;Germany;500.965;866.133;403;1759;515;2677;15.054;65.708;19.238;6;Healthcare
grid.412596.d;First Affiliated Hosp.  Harbin Med. Univ.;CN;China;457.005;126.62;1259;488;419;2166;58.126;22.530;19.344;6;Healthcare
grid.413080.e;Zhengzhou Univ.  Light Industry;CN;China;347.974;113.655;1156;316;127;1599;72.295;19.762;7.943;3;Education
grid.419231.c;Natl. Agricultural Technology Inst.;AR;Argentina;-346.039;-584.011;582;497;367;1446;40.249;34.371;25.380;5;Government
grid.419701.a;Natl. Physical Laboratory  India;IN;India;286.377;771.724;315;267;424;1006;31.312;26.541;42.147;4;Facility
grid.411771.5;Cochin Univ.  Science  & Technology;IN;India;100.448;763.274;972;236;293;1501;64.757;15.723;19.520;3;Education
grid.418021.e;Frederick Natl. Laboratory  Cancer Res.;US;United States;394.397;-773.629;159;1100;174;1433;11.096;76.762;12.142;4;Facility
grid.412584.e;Univ.  Iowa Hosp.s  & Clinics;US;United States;416.598;-91.549;356;2105;491;2952;12.060;71.308;16.633;6;Healthcare
grid.413036.3;Univ.  Maryl & Med. Ctr.;US;United States;392.883;-766.236;273;1461;340;2074;13.163;70.444;16.393;6;Healthcare
grid.413079.8;Univ.  Calinia Davis Med. Ctr.;US;United States;385.551;-121.456;238;1452;308;1998;11.912;72.673;15.415;6;Healthcare
grid.414021.2;Hennepin County Med. Ctr.;US;United States;44.972;-932.615;207;613;193;1013;20.434;60.513;19.052;6;Healthcare
grid.414179.e;Duke Med. Ctr.;US;United States;360.035;-789.358;349;3352;812;4513;7.733;74.274;17.993;6;Healthcare
grid.415960.f;St. Antonius Ziekenhuis;NL;Netherlands;520.259;508.153;260;851;279;1390;18.705;61.223;20.072;6;Healthcare
grid.416135.4;Erasmus MC - Sophia Children’s Hosp.;NL;Netherlands;519.103;446.878;257;1337;449;2043;12.580;65.443;21.978;6;Healthcare
grid.417284.c;Philips (Netherl &s);NL;Netherlands;523.444;491.657;422;746;224;1392;30.316;53.592;16.092;2;Company
grid.5012.6;Maastricht Univ.;NL;Netherlands;508.458;568.722;2019;5235;2318;9572;21.093;54.691;24.217;3;Education
grid.411786.d;Government College Univ., Faisalabad;PK;Pakistan;314.159;730.693;396;461;184;1041;38.040;44.284;17.675;3;Education
grid.27736.37;Tomsk Polytechnic Univ.;RU;Russia;564.653;849.503;2349;790;554;3693;63.607;21.392;15.001;3;Education
grid.448878.f;Sechenov Univ.;RU;Russia;557.281;37.575;1304;977;463;2744;47.522;35.605;16.873;3;Education
grid.418853.3;Inst.  Bioorganic Chemistry;RU;Russia;556.476;375.106;328;530;447;1305;25.134;40.613;34.253;4;Facility
grid.8647.d;Univ.  Maribor;SI;Slovenia;465.594;156.444;994;879;308;2181;45.575;40.303;14.122;3;Education
grid.440850.d;Technical Univ.  Ostrava;CZ;Czechia;498.336;181.639;1324;345;264;1933;68.495;17.848;13.658;3;Education
grid.6203.7;Statens Serum Institut;DK;Denmark;55.666;12.591;214;685;279;1178;18.166;58.149;23.684;4;Facility
grid.20715.31;Sidi Mohamed Ben Abdellah Univ.;MA;Morocco;340.339;-498.007;783;452;214;1449;54.037;31.194;14.769;3;Education
grid.412846.d;Sultan Qaboos Univ.;OM;Oman;235.911;581.714;827;883;273;1983;41.705;44.529;13.767;3;Education
grid.55325.34;Oslo Univ. Hosp.;NO;Norway;599.486;107.153;1662;4080;2185;7927;20.966;51.470;27.564;6;Healthcare
grid.45907.3f;Natl. Taiwan Univ.  Science  & Technology;TW;Taiwan;250.137;121.541;2270;923;739;3932;57.731;23.474;18.795;3;Education
grid.412019.f;Kaohsiung Med. Univ.;TW;Taiwan;226.475;120.31;1216;1986;1014;4216;28.843;47.106;24.051;3;Education
grid.412038.c;Natl. Changhua Univ.  Education;TW;Taiwan;240.826;120.558;693;216;111;1020;67.941;21.177;10.882;3;Education
grid.412047.4;Natl. Chung Cheng Univ.;TW;Taiwan;235.639;120.473;1320;494;349;2163;61.026;22.839;16.135;3;Education
grid.497880.a;Technological Univ. Dublin;IE;Ireland;533.384;-626.835;549;449;210;1208;45.447;37.169;17.384;3;Education
grid.412440.7;Univ. Hosp. Galway;IE;Ireland;532.769;-906.616;274;472;275;1021;26.836;46.229;26.934;6;Healthcare
grid.412751.4;St. Vincent's Univ. Hosp.;IE;Ireland;533.167;-621.274;296;831;403;1530;19.346;54.314;26.340;6;Healthcare
grid.4494.d;Univ. Med. Ctr. Groningen;NL;Netherlands;532.228;657.404;2105;5586;2846;10537;19.977;53.013;27.010;6;Healthcare
grid.417100.3;Wilhelmina Children's Hosp.;NL;Netherlands;52.09;518.091;112;871;323;1306;8.576;66.692;24.732;6;Healthcare
grid.430814.a;Antoni van Leeuwenhoek Hosp.;NL;Netherlands;523.509;482.639;720;2141;699;3560;20.225;60.140;19.635;6;Healthcare
grid.413016.1;Univ.  Agriculture Faisalabad;PK;Pakistan;314.339;730.649;549;670;560;1779;30.860;37.662;31.478;3;Education
grid.266976.a;Univ.  Peshawar;PK;Pakistan;340.015;71.487;427;359;309;1095;38.995;32.785;28.219;3;Education
grid.418577.8;Klini?ki centar Srbije;RS;Serbia;447.965;204.634;448;452;639;1539;29.110;29.370;41.521;6;Healthcare
grid.411828.6;Jawaharlal Nehru Technological Univ., Hyderabad;IN;India;174.931;783.892;634;399;217;1250;50.720;31.920;17.360;3;Education
grid.411997.3;Rashtrasant Tukadoji Maharaj Nagpur Univ.;IN;India;211.461;790.758;745;171;155;1071;69.561;15.966;14.473;3;Education
grid.444547.2;Natl. Inst.  Technology Kurukshetra;IN;India;299.492;768.159;645;300;212;1157;55.748;25.929;18.323;3;Education
grid.419487.7;Maulana Azad Natl. Inst.  Technology;IN;India;232.156;774.083;1547;2681;1191;5419;28.548;49.474;21.978;3;Education
grid.467228.d;Indian Inst.  Technology BHU;IN;India;252.624;829.894;622;619;262;1503;41.384;41.184;17.432;3;Education
grid.252262.3;Anna Univ., Chennai;IN;India;130.127;802.402;9189;1633;2105;12927;71.084;12.633;16.284;3;Education
grid.418196.3;Indian Agricultural Res. Inst.;IN;India;286.331;771.525;716;384;655;1755;40.798;21.880;37.322;4;Facility
grid.440742.1;West Bengal Univ.  Technology;IN;India;225.972;884.183;919;508;328;1755;52.365;28.946;18.690;3;Education
grid.7900.e;Univ.  Sousse;TN;Tunisia;358.375;10.607;485;606;209;1300;37.308;46.615;16.077;3;Education
grid.411583.a;Mashhad Univ.  Med. Sciences;IR;Iran;36.283;595.366;2111;975;990;4076;51.791;23.921;24.289;3;Education
grid.411705.6;Tehran Univ.  Med. Sciences;IR;Iran;357.483;513.812;5700;4539;5109;15348;37.138;29.574;33.288;3;Education
grid.412462.7;Payame Noor Univ.;IR;Iran;358.008;515.025;921;676;333;1930;47.720;35.026;17.254;3;Education
grid.420169.8;Pasteur Inst.  Iran;IR;Iran;358.034;514.337;513;423;372;1308;39.220;32.339;28.440;4;Facility
grid.411950.8;Hamedan Univ.  Med. Sciences;IR;Iran;347.896;484.849;748;445;270;1463;51.128;30.417;18.455;3;Education
grid.416732.5;San Francisco General Hosp.;US;United States;377.556;-122.405;177;1161;184;1522;11.629;76.281;12.089;6;Healthcare
grid.417319.9;Univ.  Calinia, Irvine Med. Ctr.;US;United States;337.875;-117.889;110;813;157;1080;10.185;75.278;14.537;6;Healthcare
grid.417540.3;Eli Lilly (United States);US;United States;397.563;-861.531;1593;1879;577;4049;39.343;46.407;14.250;2;Company
grid.28479.30;King Juan Carlos Univ.;ES;Spain;402.832;-38.211;1010;981;400;2391;42.242;41.029;16.729;3;Education
grid.462098.1;Institut Cochin;FR;France;48.836;233.875;147;1248;485;1880;7.819;66.383;25.798;4;Facility
grid.41724.34;Ctr. Hosp.ier Universitaire de Rouen;FR;France;493.464;109.224;332;974;590;1896;17.511;51.371;31.118;6;Healthcare
grid.417885.7;Agro ParisTech;FR;France;488.398;234.767;176;819;358;1353;13.008;60.532;26.460;3;Education
grid.457334.2;CEA Saclay;FR;France;487.198;214.912;675;2773;1607;5055;13.353;54.857;31.790;5;Government
grid.5842.b;Univ.  Paris-Sud;FR;France;486.978;217.597;1293;7639;3271;12203;10.596;62.599;26.805;3;Education
grid.9489.c;Institut de Physique du Globe de Paris;FR;France;488.473;23.568;138;537;340;1015;13.596;52.906;33.498;4;Facility
grid.460782.f;Université Côte d'Azur;FR;France;437.374;706.457;543;2420;973;3936;13.796;61.484;24.721;3;Education
grid.10877.39;École Polytechnique;FR;France;487.143;221.131;268;1391;522;2181;12.288;63.778;23.934;3;Education
grid.134996.0;Ctr. Hosp.ier Universitaire Amiens-Picardie;FR;France;498.721;225.406;424;698;495;1617;26.221;43.166;30.612;6;Healthcare
grid.418119.4;Institut Jules Bordet;BE;Belgium;508.334;43.466;119;698;224;1041;11.431;67.051;21.518;6;Healthcare
grid.420190.e;Univ.  Sciences  & Technology Houari Boumediene;DZ;Algeria;367.112;318.139;1075;295;290;1660;64.759;17.771;17.470;3;Education
grid.4299.6;Austrian Academy  Sciences;AT;Austria;482.087;163.774;138;1142;240;1520;9.079;75.132;15.790;5;Government
grid.11598.34;Med. Univ.  Graz;AT;Austria;470.792;154.494;1307;3167;832;5306;24.633;59.687;15.680;3;Education
grid.412287.a;Univ. do Estado de Santa Catarina;BR;Brazil;-276.011;-48.52;1218;1025;598;2841;42.872;36.079;21.049;3;Education
grid.412295.9;Univ. Nove de Julho;BR;Brazil;-235.642;-46.638;467;501;169;1137;41.073;44.063;14.864;3;Education
grid.412391.c;Univ. Federal Rural do Rio de Janeiro;BR;Brazil;-227.634;-436.871;984;970;598;2552;38.558;38.009;23.433;3;Education
grid.419166.d;Inst. Nacional do Câncer;BR;Brazil;-22.82;-430.646;409;665;283;1357;30.140;49.005;20.855;6;Healthcare
grid.411180.d;Federal Univ.  Alfenas;BR;Brazil;-214.198;-459.489;482;500;241;1223;39.411;40.883;19.706;3;Education
grid.411206.0;Univ. Federal de Mato Grosso;BR;Brazil;-156.087;-560.637;1029;959;435;2423;42.468;39.579;17.953;3;Education
grid.411252.1;Univ. Federal de Sergipe;BR;Brazil;-109.248;-371.006;1645;982;551;3178;51.762;30.900;17.338;3;Education
grid.414086.f;Children's Hosp.  Wisconsin;US;United States;430.424;-880.241;267;1079;204;1550;17.226;69.613;13.161;6;Healthcare
grid.413558.e;Albany Med. Ctr. Hosp.;US;United States;42.654;-73.777;854;1085;468;2407;35.480;45.077;19.443;6;Healthcare
grid.413561.4;Univ.  Cincinnati Med. Ctr.;US;United States;391.304;-845.209;156;1262;254;1672;9.330;75.479;15.191;6;Healthcare
grid.412689.0;Univ.  Pittsburgh Med. Ctr.;US;United States;404.421;-799.614;920;5525;1353;7798;11.798;70.852;17.351;6;Healthcare
grid.202665.5;Brookhaven Natl. Laboratory;US;United States;408.646;-728.731;1055;1746;459;3260;32.362;53.558;14.080;4;Facility
grid.21107.35;Johns Hopkins Univ.;US;United States;393.289;-766.203;11105;23578;9656;44339;25.046;53.177;21.778;3;Education
grid.213876.9;Univ.  Georgia;US;United States;339.483;-833.773;4218;4452;2493;11163;37.786;39.882;22.333;3;Education
grid.213902.b;Calinia State Univ., Long Beach;US;United States;33.783;-118.113;561;505;237;1303;43.055;38.757;18.189;3;Education
grid.213917.f;Georgia Inst.  Technology;US;United States;337.759;-843.963;6603;5912;3209;15724;41.993;37.599;20.408;3;Education
grid.217309.e;Stevens Inst.  Technology;US;United States;407.449;-740.239;681;493;218;1392;48.922;35.417;15.661;3;Education
grid.254549.b;Colorado School  Mines;US;United States;397.515;-105.223;1097;1118;477;2692;40.750;41.531;17.719;3;Education
grid.254880.3;Dartmouth College;US;United States;437.047;-722.887;1541;3032;1325;5898;26.128;51.407;22.465;3;Education
grid.255986.5;Florida State Univ.;US;United States;304.422;-842.992;2538;2916;1748;7202;35.240;40.489;24.271;3;Education
grid.256304.6;Georgia State Univ.;US;United States;337.528;-843.861;1730;1744;890;4364;39.643;39.963;20.394;3;Education
grid.259828.c;Med. Univ.  South Carolina;US;United States;327.866;-799.519;2209;4224;1581;8014;27.564;52.708;19.728;3;Education
grid.261128.e;Northern Illinois Univ.;US;United States;419.339;-887.778;722;652;324;1698;42.521;38.398;19.081;3;Education
grid.262075.4;Portl & State Univ.;US;United States;455.113;-122.683;995;903;406;2304;43.186;39.193;17.622;3;Education
grid.266100.3;Univ.  Calinia, San Diego;US;United States;32.881;-117.238;8766;16993;5983;31742;27.616;53.535;18.849;3;Education
grid.266862.e;Univ.  North Dakota;US;United States;479.222;-970.734;844;654;361;1859;45.401;35.180;19.419;3;Education
grid.10796.39;Univ.  Foggia;IT;Italy;414.567;155.324;651;694;245;1590;40.943;43.648;15.409;3;Education
grid.33762.33;Joint Inst.  Nuclear Res.;RU;Russia;567.464;371.893;1769;675;804;3248;54.464;20.782;24.754;4;Facility
grid.424964.9;Prokhorov General Physics Inst.;RU;Russia;557.108;375.778;252;498;374;1124;22.420;44.306;33.274;4;Facility
grid.411975.f;Imam Abdulrahman Bin Faisal Univ.;SA;Saudi Arabia;263.924;501.894;640;752;202;1594;40.151;47.177;12.673;3;Education
grid.412144.6;King Khalid Univ.;SA;Saudi Arabia;182.495;425.597;665;621;129;1415;46.997;43.887;9.117;3;Education
grid.284723.8;Southern Med. Univ.;CN;China;231.862;113.334;7387;2717;2368;12472;59.229;21.785;18.987;3;Education
grid.411587.e;Chongqing Univ.  Posts  & Telecommunications;CN;China;295.346;106.605;1661;443;257;2361;70.352;18.763;10.885;3;Education
grid.1014.4;Flinders Univ.;AU;Australia;-35.024;138.573;1391;2368;920;4679;29.729;50.609;19.662;3;Education
grid.1016.6;Commonwealth Scientific  & Industrial Res. Organisation;AU;Australia;-352.763;149.146;451;2937;695;4083;11.046;71.932;17.022;5;Government
grid.1019.9;Victoria Univ.;AU;Australia;-377.942;144.9;567;743;285;1595;35.549;46.583;17.868;3;Education
grid.267193.8;Univ.  Southern Mississippi;US;United States;313.296;-893.338;679;513;315;1507;45.056;34.041;20.903;3;Education
grid.46078.3d;Univ.  Waterloo;CA;Canada;434.725;-805.449;4732;4227;2364;11323;41.791;37.331;20.878;3;Education
grid.268252.9;Wilfrid Laurier Univ.;CA;Canada;434.761;-805.281;490;506;196;1192;41.107;42.450;16.443;3;Education
grid.202033.0;Natural Resources Canada;CA;Canada;454.007;-757.059;367;695;153;1215;30.206;57.202;12.593;5;Government
grid.414263.6;Hôpital Pellegrin;FR;France;448.271;-0.606265;117;755;367;1239;9.443;60.936;29.621;6;Healthcare
